district,urban_rural,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,notes,deaths_lower_bound,injured_lower_bound,motive_tags,motive_basis,evidence_level,official_occurrence,official_classification,classification_evidence,id,date,date_precision,title,province,city,scene,method,category,classification_reason,source_ids,field_sources,reported_date,review_year,dating_note,review_batch,injured_reported,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,motive_themes,verification_gaps,social_source_urls,year,month,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,classification_evidence_basis,demographics_asof,demographics_basis,driver_deaths
芝罘,,1,,,1,,2018-06-25,1名受害人死亡，另有嫌疑人1人死亡；10余伤保留原文及保守下限，不作精确数。,,道路行人,45,男,,,,,,警方制止无效后开枪击毙。,嫌疑人现场死亡。,,,2018-06-25,,,10,[],未知,官方原文,True,False,官方确认发生；随机性／扩大关系含研究解释；警方确认驾驶叉车撞击行人、制止无效后继续危害，但未明确目标选择及被害关系；不以道路场景和人数直接充当官方随机性认定。,A008,2018-06-25,day,烟台幸福中路叉车冲撞,山东,烟台,街道交通,驾车,core,警方确认叉车冲撞道路行人，制止无效后仍持续危害。,"[""AS010""]","{""date"": [""AS010""], ""location"": [""AS010""], ""casualties"": [""AS010""], ""classification"": [""AS010""], ""motive"": [], ""outcome"": [""AS010""]}",,,,,10余人,,,,,,,,[],,,2018,2018-06,2018-Q2,核心,False,True,False,1,10,,,,
徐汇,,2,2,0,,,2020-12-03,,True,无关儿童及家长,,男,,工作生活不顺而泄愤报复无辜者。,,,,,死刑并已执行。,,2020-12-03,2020-12-03,,,,"[""生活挫折"", ""泄愤""]",法院认定,官方转载,True,True,官方事实直接支持；法院明确工作生活不顺后为泄愤事先选择学校附近，杀害无辜儿童和家长。,A009,2018-06-28,day,上海浦北路小学周边袭击,上海,上海,校园及周边,持械,core,法院明确因个人不满杀害无辜儿童及家长，事先选择学校周边。,"[""AS011""]","{""date"": [""AS011""], ""location"": [""AS011""], ""casualties"": [""AS011""], ""classification"": [""AS011""], ""motive"": [""AS011""], ""outcome"": [""AS011""]}",,,,,,,,,,,,,"[""泄愤／转移报复"", ""生活受挫／疏离／厌世""]",,,2018,2018-06,2018-Q2,核心,True,True,True,2,2,,,,
隆回,,1,6,,,,2018-07-05,通报7名被砍者中1名死亡，因此幸存受伤6人；不将7伤再加1死。,True,,40,男,,,,警方通报有故意伤害前科。,,,逃离后被抓获。,,,2018-07-05,,,,[],未知,官方转载,True,False,媒体调查／研究推断,A045,2018-07-05,day,隆回南松村持刀伤人,湖南,邵阳,社区住宅,持械,pending,官方通报多人伤亡但未明确动机及被害人与嫌疑人关系，不能仅以有儿童受害认定随机。,"[""AS049""]","{""date"": [""AS049""], ""location"": [""AS049""], ""casualties"": [""AS049""], ""classification"": [""AS049""], ""motive"": [], ""outcome"": [""AS049""]}",,,,,,,,,,,,,[],,,2018,2018-07,2018-Q3,待核实,False,True,False,1,6,,,,
润州,,0,7,,,1,2018-08-21,8月21日警方通气会将初报5伤修订为7伤：另有2名伤势较轻者自行回家后被走访发现。7名受害者之外嫌疑人有伤并送医，另列attacker_injured=1；4人伤势较重不等于司法重伤。,,路人,30,男,,,警方转述家属称有精神病史，未见司法鉴定。,,,,现场被抓获。,,,2018-08-22,案发日为8月20日，非报道日8月21日。,,,[],未知,官方转载,True,True,官方事实直接支持；后续警方通气会披露持双刀沿多路段行凶，逃离中主动砍伤过路女子并抢夺其电动车；该官方具体攻击过程支持原纠纷之外的过路者目标，证据强于仅初报多名路人受伤。,A010,2018-08-20,day,镇江百盛家园南门持刀伤害路人,江苏,镇江,街道交通,持械,core,后续警方通气会披露持双刀沿多路段伤人，逃跑中主动砍伤过路女子并抢其电动车，支持向无关过路者实施主动袭击；不再仅以初报5名路人推断。,"[""AS012"", ""RS001""]","{""date"": [""AS012"", ""RS001""], ""location"": [""AS012"", ""RS001""], ""casualties"": [""RS001""], ""classification"": [""RS001""], ""motive"": [], ""outcome"": [""RS001""]}",,,,,,,,,,,,,[],,,2018,2018-08,2018-Q3,核心,True,True,False,0,7,警方通气会直接披露主动沿途袭击过路者,,,
衡东,,15,43,6,,,2019-01-29,法院后续为43伤；不采用部分汇编44伤。,,广场群众,,男,,因个人经历及不满产生报复社会念头。,,,,,死刑并已执行。,2018-12-12,2019-01-29,2019-01-29,,,,"[""报复社会""]",法院认定,官方转载,True,True,官方事实直接支持；法院认定个人怨恨后驾车冲撞广场公共人群并下车继续持械袭击，行为指向与原怨恨无关的在场公众。,A011,2018-09-12,day,衡东洣江广场驾车及持械袭击,湖南,衡阳,公园广场,复合,core,法院认定驾车及持械攻击广场公共人群，目标与其个人怨恨无关。,"[""AS013""]","{""date"": [""AS013""], ""location"": [""AS013""], ""casualties"": [""AS013""], ""classification"": [""AS013""], ""motive"": [""AS013""], ""outcome"": [""AS013""]}",,,,,,,,,,,,,"[""泄愤／转移报复""]",,,2018,2018-09,2018-Q3,核心,True,True,True,15,43,,,,
海淀,,0,2,,,,2019-10-09,1名全身软组织损伤、1名轻微伤。,,,,女,,家庭争执后的个人泄愤。,,,,群众报警，本人在现场等候。,一审有期徒刑6年。,,,2019-10-09,报道日为10月9日，实际宣判日只写近日，judgment_date留空。,,,"[""家庭纠纷"", ""转移报复""]",法院认定,官方转载,True,False,官方确认发生；随机性／扩大关系含研究解释；法院认定家庭争执后泄愤冲撞停放及正常行驶车辆，但现有记载未明确各被害人与原争执的关系；核心而非纠纷扩大的区分仍含研究解释，原理由中的未发现先攻击丈夫不构成正面证据。,A012,2018-09-12,day,北京海淀西山壹号院东门车辆冲撞,北京,北京,街道交通,驾车,core,法院认定为发泄家庭争执愤怒，肆意冲撞公共道路车辆；未发现先攻击丈夫的情节，按转移攻击无关人员归core。,"[""AS014""]","{""date"": [""AS014""], ""location"": [""AS014""], ""casualties"": [""AS014""], ""classification"": [""AS014""], ""motive"": [""AS014""], ""outcome"": [""AS014""]}",,,,,,,,,,,,,"[""婚姻／家庭／感情问题"", ""泄愤／转移报复""]",,,2018,2018-09,2018-Q3,核心,False,True,True,0,2,,,,
九龙坡,,0,5,,,,2018-11-15,3名候车学生、1名家长及1名司机共5伤；被劫持女孩未记受伤，不加数。,True,无关候车学生、家长、公交司机及被劫持女孩,44,男,,警方认定家庭变故后酒后泄愤。,,,,司机营救女孩并阻止抢车；嫌疑人逃离后50分钟被警方抓获。,刑事拘留；未检出后续裁判。,,,2018-11-15,,,,"[""家庭变故"", ""泄愤""]",警方初步通报,官方转载,True,True,官方事实直接支持；警方明确家庭变故后酒后泄愤，攻击候车学生家长并劫持车内女孩、伤害司机，官方过程直接支持无关公众目标。,A049,2018-10-10,day,重庆锦龙路公交站及891路公交车持械袭击,重庆,重庆,公共交通,持械,core,警方确认家庭变故后向候车学生家长泄愤，进一步劫持车内陌生女孩并攻击司机。,"[""AS053"", ""AS054""]","{""date"": [""AS053"", ""AS054""], ""location"": [""AS053"", ""AS054""], ""casualties"": [""AS053"", ""AS054""], ""classification"": [""AS053"", ""AS054""], ""motive"": [""AS053"", ""AS054""], ""outcome"": [""AS053"", ""AS054""]}",,,,,,,,,,,,,"[""婚姻／家庭／感情问题"", ""泄愤／转移报复""]",,,2018,2018-10,2018-Q4,核心,True,False,True,0,5,,,,
巴南,,0,14,,,,2018-10-27,重症临床描述未转化为司法重伤数；无人员死亡的警方澄清优先。,True,幼儿园儿童,39,女,,,,,,现场被抓获。,被控制；未检出公开终审。,,,2018-10-27,,,,[],未知,官方转载,True,False,官方确认发生；随机性／扩大关系含研究解释；公安负责人确认突然冲入幼儿群体持刀行凶，官方事实支持校园群体袭击；被害关系、原始目标及无关性没有明确披露，非特定私人对象为研究者依据场景作出的分类解释。,A013,2018-10-26,day,重庆鱼洞新世纪幼儿园袭击,重庆,重庆,校园及周边,持械,core,公安负责人明确突然冲入幼儿群体持刀行凶，非特定私人对象。,"[""AS015"", ""AS016""]","{""date"": [""AS015"", ""AS016""], ""location"": [""AS015"", ""AS016""], ""casualties"": [""AS015"", ""AS016""], ""classification"": [""AS015"", ""AS016""], ""motive"": [], ""outcome"": [""AS015"", ""AS016""]}",,,,,,,,,,,,,[],,,2018,2018-10,2018-Q4,核心,False,False,False,0,14,,,,
万州,,,,,,,2018-11-02,通报明确15名驾乘人员、打捞13名遗体；与随机袭击统计隔离，不把失联直接转换为精确死亡。,,司机与争执乘客、其他乘客,,,,坐过站后的争执与互殴。,,,,,双方均涉嫌危害公共安全；官方调查原因已公布。,,,2018-11-02,,13,,"[""乘车纠纷""]",警方初步通报,官方转载,True,False,媒体调查／研究推断,A014,2018-10-28,day,重庆万州公交车坠江（排除）,重庆,重庆,公共交通,驾车,excluded,官方查明由司机与乘客争执互殴导致车辆失控，缺少主动以无关乘客为攻击目标的证据。,"[""AS017""]","{""date"": [""AS017""], ""location"": [""AS017""], ""casualties"": [""AS017""], ""classification"": [""AS017""], ""motive"": [""AS017""], ""outcome"": [""AS017""]}",,,,,,,,,,,,,"[""其他已披露背景""]",,,2018,2018-10,2018-Q4,排除,False,False,True,13,0,,,,
建昌,,6,20,,,,2019-07-09,6名死者均为儿童。,True,学生及带队教师,,男,,经济压力、婚姻及人际问题等不满。,,,,,一审死刑；未核实执行公告。,2019-07-09,,2019-07-09,,,,"[""经济压力"", ""婚姻矛盾"", ""泄愤""]",法院认定,官方转载,True,True,官方事实直接支持；法院认定经济、婚姻等个人不满后蓄意冲撞学生队伍，官方行为事实支持将个人不满转向无关学生。,A015,2018-11-22,day,建昌二小周边驾车撞学生,辽宁,葫芦岛,校园及周边,驾车,core,法院查明因个人生活问题蓄意冲撞无关学生队伍。,"[""AS018""]","{""date"": [""AS018""], ""location"": [""AS018""], ""casualties"": [""AS018""], ""classification"": [""AS018""], ""motive"": [""AS018""], ""outcome"": [""AS018""]}",,,,,,,,,,,,,"[""婚姻／家庭／感情问题"", ""泄愤／转移报复"", ""经济／工作／财产纠纷""]",,,2018,2018-11,2018-Q4,核心,True,False,True,6,20,,,,
夹江,,0,,1,,,2020-10-18,16名达到列明司法伤情，另有多人受伤；不把16当全体伤者，保守下限取17，精确值未知。,,公交乘客,,男,,土地补偿及家庭问题引发不满，转向报复社会。,,,,,死刑缓期二年执行、限制减刑，二审维持。,2019-11-15,,2020-10-18,,,17,"[""土地补偿纠纷"", ""家庭纠纷"", ""报复社会""]",法院认定,官方转载,True,True,官方事实直接支持；法院认定为报复社会在公交车引爆爆炸物，攻击目标为公共交通乘客。,A016,2018-12-05,day,夹江3路公交车爆炸,四川,乐山,公共交通,爆炸,core,法院认定为报复社会而袭击公交车上的无关乘客。,"[""AS019""]","{""date"": [""AS019""], ""location"": [""AS019""], ""casualties"": [""AS019""], ""classification"": [""AS019""], ""motive"": [""AS019""], ""outcome"": [""AS019""]}",,,,,法院列16名受司法鉴定伤者及其他多人受伤；初报17人。,,,,,,,,"[""婚姻／家庭／感情问题"", ""泄愤／转移报复"", ""经济／工作／财产纠纷""]",,,2018,2018-12,2018-Q4,核心,True,False,True,0,17,,,,
新罗,,8,25,,,,2019-01-29,采用法院后续8死25伤；不沿用初报5死或8死22伤。,,原有特定对象及沿途无关群众,48,男,无业,原有人际矛盾后袭击，继而劫持车辆危害公共安全。,,,,,一审死刑；部分汇编称2019年8月执行，本轮未打开可靠原文核实，不录入执行日。,2019-01-28,,2019-01-30,,,,"[""人际纠纷"", ""扩大报复""]",警方初步通报,官方转载,True,True,官方事实直接支持；法院和公安调查明确先因积怨攻击居委会等相关人员，随后劫持公交冲撞沿途群众，原目标到无关公众的扩大过程直接可见。,A017,2018-12-25,day,龙岩持刀袭击及劫持公交车冲撞,福建,龙岩,公共交通,复合,expanded,先攻击与本人相关的人员，继而劫车冲撞沿途无关群众，扩展到不特定人员。,"[""AS020"", ""AS055""]","{""date"": [""AS020""], ""location"": [""AS020""], ""casualties"": [""AS020""], ""classification"": [""AS055""], ""motive"": [""AS055""], ""outcome"": [""AS020""]}",,,,,,,,,,,,,"[""其他已披露背景""]",,,2018,2018-12,2018-Q4,纠纷扩大,True,False,True,8,25,,,,
西城,,0,20,,,,2019-01-08,3人伤势较重属临床初报，未写入司法重伤字段。,True,无关小学生,49,男,学校维修劳务人员,劳务合同到期续聘问题引发不满。,,,,现场控制嫌疑人并救治学生。,嫌疑人被控制；未找到裁判。,,,2019-01-08,,,,"[""工作纠纷"", ""转移报复""]",警方初步通报,官方转载,True,True,官方事实直接支持；官方发布会明确维修劳务合同纠纷后转而伤害20名小学生，原纠纷是劳动聘用问题，实际受害者是学生群体。,A018,2019-01-08,day,北京宣师一附小持械伤害学生,北京,北京,校园及周边,持械,core,为维修劳务合同问题不满而转向无关学生。,"[""AS021""]","{""date"": [""AS021""], ""location"": [""AS021""], ""casualties"": [""AS021""], ""classification"": [""AS021""], ""motive"": [""AS021""], ""outcome"": [""AS021""]}",,,,,,,,,,,,,"[""泄愤／转移报复"", ""经济／工作／财产纠纷""]",,,2019,2019-01,2019-Q1,核心,True,True,True,0,20,,,,
虎门镇,,1,8,,,,2019-01-15,2人伤情较重、6人较轻为初报临床描述。,,,,男,,,,,,,被抓获；具体原因在调查。,,,2019-01-15,不因排除涉恐或多人受害自动认定随机。,,,[],未知,官方转载,True,False,媒体调查／研究推断,A019,2019-01-14,day,东莞虎门怀德社区持刀伤人,广东,东莞,街道交通,持械,pending,警方确认发生，但本轮可靠资料未明确受害者与嫌疑人关系及选择目标方式。,"[""AS022""]","{""date"": [""AS022""], ""location"": [""AS022""], ""casualties"": [""AS022""], ""classification"": [""AS022""], ""motive"": [], ""outcome"": [""AS022""]}",,,,,,,,,,,,,[],,,2019,2019-01,2019-Q1,待核实,False,True,False,1,8,,,,
仓山,,1,19,,,,2019-01-15,1名伤者危重为临床描述。,,原纠纷对象及无关路人,48,男,,与前妻及其男友的感情纠纷后，伤害扩大到无关路人。,,,,,逃跑后跳河，通报时下落不明；未找到后续。,,,2019-01-15,,,,"[""感情纠纷"", ""扩大伤害""]",警方初步通报,官方转载,True,True,官方事实直接支持；警方续报明确起因为与前妻及其男友纠纷，逃跑途中继续伤害路人并抢车，扩大过程直接披露。,A020,2019-01-14,day,福州仓山红江路等处持刀伤人,福建,福州,街道交通,持械,expanded,从与前妻男友的纠纷转为逃跑途中伤害无关路人。,"[""AS023""]","{""date"": [""AS023""], ""location"": [""AS023""], ""casualties"": [""AS023""], ""classification"": [""AS023""], ""motive"": [""AS023""], ""outcome"": [""AS023""]}",,,,,,,,,,,,,"[""其他已披露背景"", ""婚姻／家庭／感情问题""]",,,2019,2019-01,2019-Q1,纠纷扩大,True,True,True,1,19,,,,
会宁,,8,7,,,,2019-02-08,,True,村民家庭，多户具体关系未完全核实,,男,,警方转述供述：怀疑妻子与他人存在不正当关系而报复。,,,,,当日被抓获；未取得裁判。,,,2019-02-08,媒体转述的邻里纠纷、家暴、纵火需裁判佐证；不将其直接扩展为已查明案情。,,,"[""婚姻纠纷""]",警方初步通报,官方转载,True,False,媒体调查／研究推断,A046,2019-02-05,day,会宁多户村民住宅伤人,甘肃,白银,社区住宅,持械,pending,警方初报指婚姻猜疑下定向进入村民家报复；是否涉及无关对象未充分披露，不按多人伤亡认定随机，也不武断将全案排除。,"[""AS050""]","{""date"": [""AS050""], ""location"": [""AS050""], ""casualties"": [""AS050""], ""classification"": [""AS050""], ""motive"": [""AS050""], ""outcome"": [""AS050""]}",,,,,,,,,,,,,"[""其他已披露背景""]",,,2019,2019-02,2019-Q1,待核实,False,True,True,8,7,,,,
吉州,,0,11,,,,2019-02-21,,True,学生、辅警及路人，关系细节未披露,33,男,,,警方转述家属称有精神病治疗史，未见司法鉴定。,,,执勤民警和群众迅速控制。,被控制；后续司法处置未核实。,,,2019-02-21,,,,[],未知,官方转载,True,False,媒体调查／研究推断,A021,2019-02-21,day,吉安韶山西路学校周边持刀伤人,江西,吉安,校园及周边,持械,pending,警方确认事件及11伤；无关路人、随机选择方式主要见媒体叙述，尚未检出明确官方性质认定或两家独立原始调查。,"[""AS024"", ""AS025""]","{""date"": [""AS024"", ""AS025""], ""location"": [""AS024"", ""AS025""], ""casualties"": [""AS024"", ""AS025""], ""classification"": [""AS024"", ""AS025""], ""motive"": [], ""outcome"": [""AS024"", ""AS025""]}",,,,,,,,,,,,,[],,,2019,2019-02,2019-Q1,待核实,False,True,False,0,11,,,,
,,1,3,,,,2019-03-01,,,有既往矛盾的同班同学,,男,学生,同学间矛盾。,,,,,被抓获。,,,2019-03-01,,,,"[""同学纠纷""]",警方初步通报,官方转载,True,False,媒体调查／研究推断,A047,2019-02-26,day,平顶山财经学校同学纠纷伤人（排除）,河南,平顶山,校园及周边,持械,excluded,警方及采访表明系与特定同学的既有矛盾，未见扩大到无关学生证据。,"[""AS051""]","{""date"": [""AS051""], ""location"": [""AS051""], ""casualties"": [""AS051""], ""classification"": [""AS051""], ""motive"": [""AS051""], ""outcome"": [""AS051""]}",,,,,,,,,,,,,"[""其他已披露背景""]",,,2019,2019-02,2019-Q1,排除,False,True,True,1,3,,,,
