id,date,date_precision,title,province,city,district,urban_rural,scene,method,category,classification_reason,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,motive_tags,motive_basis,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,evidence_level,source_ids,field_sources,notes,injured_reported,injured_lower_bound,deaths_lower_bound,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,official_occurrence,official_classification,classification_evidence,motive_themes,year,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,classification_evidence_basis
A044,2019-05-16,day,深圳驾驶人癫痫发作车辆失控（排除）,广东,深圳,南山,,街道交通,驾车,excluded,法院明确疾病发作导致失控，虽罪名为危害公共安全且属间接故意，仍无主动随机攻击意图。,3,8,1,,,2019-12-24,1重伤5轻伤2轻微伤，法院精确8伤。,,,,男,,,[],未知,确诊癫痫，属于神经系统疾病，不能作精神疾病动机。,,既往确诊及交通意外后仍驾驶。,,有期徒刑13年。,2019-12-23,,2019-12-24,官方转载,"[""AS048""]","{""date"": [""AS048""], ""location"": [""AS048""], ""casualties"": [""AS048""], ""classification"": [""AS048""], ""motive"": [], ""outcome"": [""AS048""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2019,2019-Q2,排除,False,True,False,3,8,
A048,2019-06-21,day,天门华泰中学早自习持刀伤人,湖北,天门,,,校园及周边,持械,pending,同班多人被伤且有劝阻者受伤，但未披露初始关系、纠纷或目标选择，随机性不明。,0,8,,,,2019-06-21,2人在ICU是临床观察，不自动记为2名司法重伤。,True,同班学生，含劝阻者,16,男,学生,,[],未知,教师称正在进行精神鉴定；结果未知，不记为确诊。,,,警方与学校工作人员当场制服。,被控制，后续司法结果未知。,,,2019-06-21,官方转载,"[""AS052""]","{""date"": [""AS052""], ""location"": [""AS052""], ""casualties"": [""AS052""], ""classification"": [""AS052""], ""motive"": [], ""outcome"": [""AS052""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2019,2019-Q2,待核实,False,True,False,0,8,
A030,2019-12-06,day,北京马家堡被盗车辆冲撞,北京,北京,丰台,,街道交通,驾车,pending,通报确认盗车及沿途碰撞，未明确撞人故意还是逃离中的肇事，随机主动袭击证据不足。,2,7,,,,2019-12-06,,,,57,男,,,[],未知,,,,,被警方拦截控制；未检出裁判。,,,2019-12-06,官方转载,"[""AS034""]","{""date"": [""AS034""], ""location"": [""AS034""], ""casualties"": [""AS034""], ""classification"": [""AS034""], ""motive"": [], ""outcome"": [""AS034""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2019,2019-Q4,待核实,False,False,False,2,7,
A031,2019-12-15,day,上海静安持刀警情与警方开枪处置,上海,上海,静安,,街道交通,持械,pending,有持刀逼近他人的报道，但2名路人伤情来自警方枪弹；不能把此数作为嫌疑人随机砍伤人数。,0,,,,1,2019-12-25,枪伤处置受害者独列response_injured=2，injured留空；不得计作2名刀伤。,,,,男,,,[],未知,,,邻居称当日下午持物比划并报警；属于报道中的目击陈述。,民警劝阻后开枪制服。,持刀者和两名路人送医；其中一路人仍在ICU。,,,2019-12-25,单一媒体,"[""AS035""]","{""date"": [""AS035""], ""location"": [""AS035""], ""casualties"": [""AS035""], ""classification"": [""AS035""], ""motive"": [], ""outcome"": [""AS035""]}",部分汇编案发日写12月19日，本调查报道明确12月15日。,2名路人为警方枪弹所伤；直接遭刀伤人数未获证实。,,,,,2,,,,,False,False,媒体调查／研究推断,[],2019,2019-Q4,待核实,False,False,False,0,0,
A035,2020-06-04,day,仙游枫亭镇和平村超市外持刀伤人,福建,莆田,仙游,,街道交通,持械,pending,警方证实3死7伤；无差别行为主要来自一组红星新闻目击者采访，尚缺官方关系认定或第二独立调查。,3,7,,,,2020-06-05,,,媒体称附近路人，官方未详述,35,男,,,[],未知,,,,,案发当夜被抓获，未检出判决。,,,2020-06-05,单一媒体,"[""AS039""]","{""date"": [""AS039""], ""location"": [""AS039""], ""casualties"": [""AS039""], ""classification"": [""AS039""], ""motive"": [], ""outcome"": [""AS039""]}",,,,,,,,,,,,False,False,媒体调查／研究推断,[],2020,2020-Q2,待核实,False,True,False,3,7,
A036,2020-06-17,day,上海徐汇建国西路持刀伤害路人,上海,上海,徐汇,,街道交通,复合,pending,持刀/徒手主动伤害7人已有警方确认；女友与路人同时受害，但原始目标、起因及攻击顺序未明，尚不能区分核心不特定袭击与特定纠纷扩大。原有碰撞3伤故意性另待核。,0,7,,,,2020-06-18,主动持刀/拳击阶段7伤；另3名交通碰撞伤者，其故意性未查明，不并入injured；全事件送医10人。,,同行女友及6名无关路人,39,男,,,[],未知,家属称近期出现异常言行，仅为家属描述，未见司法鉴定。,,,,被警方控制，排除酒驾毒驾；未检出裁判。,,,2020-06-18,官方转载,"[""AS040""]","{""date"": [""AS040""], ""location"": [""AS040""], ""casualties"": [""AS040""], ""classification"": [""AS040""], ""motive"": [], ""outcome"": [""AS040""]}",,,,,,3,,10,,,,True,False,官方确认主动伤害与受害者结构；核心/扩展边界待核，未凭未发现私人纠纷推定随机。,[],2020,2020-Q2,待核实,False,True,False,0,7,
A041,2020-09-21,day,广州番禺钟村骏兴路持刀伤人,广东,广州,番禺,,街道交通,持械,pending,通报确认事件和伤亡，但未明确受害人关系及选择目标方式，随机性留待补核。,2,3,,1,,2020-09-21,受害人2死3伤，嫌疑人死亡单列；不把5名最初受伤者与2名死亡重复相加。,,,47,男,,,[],未知,警方称长期有抑郁病征，未披露司法鉴定或具体诊断。,,,现场安保制服，增援警方控制，送医。,嫌疑人自残后抢救无效死亡。,,,2020-09-21,官方转载,"[""AS046""]","{""date"": [""AS046""], ""location"": [""AS046""], ""casualties"": [""AS046""], ""classification"": [""AS046""], ""motive"": [], ""outcome"": [""AS046""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2020,2020-Q3,待核实,False,False,False,2,3,
B05,2021-01-22,day,昆明云南师大实验中学门口持刀及劫持案,云南,昆明,五华区,城市,校园及周边,持械,pending,警方证实校门口连续伤人及劫持学生，但本轮可靠正文未披露受害者与嫌疑人关系或随机选择的明确事实。,1,7,,1,,2021-01-23,采用警方1死7伤口径；未采信未经后续通报或双独立采集核实的更高死亡数字。,True,学生及校门口人员；具体关系未明。,56,男,,,[],未知,,,,警方谈判疏导并调集特警，18时40分许击毙嫌疑人、解救人质。,嫌疑人被警方现场击毙。,,,2021-01-23,官方转载,"[""BS06""]","{""date"": [""BS06""], ""location"": [""BS06""], ""casualties"": [""BS06""], ""classification"": [""BS06""], ""motive"": [""BS06""], ""outcome"": [""BS06""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2021,2021-Q1,待核实,False,True,False,1,7,
B50,2021-03-22,day,广州番禺明经村建筑内爆炸案,广东,广州,番禺区,村庄,机关单位,爆炸,pending,官方确认人为引燃爆炸，但被害人与嫌疑人关系不明；媒体称村委会及土地纠纷，不足据此判断随机或定向。,4,5,,1,,2021-03-22,警方5死含嫌疑人，受害者死亡应为4人。,,,59,男,,,[],未知,,,,公安、消防及医疗救援。,嫌疑人现场死亡，案件调查中。,,,2021-03-26,官方转载,"[""BS55"", ""BS58""]","{""date"": [""BS55""], ""location"": [""BS55"", ""BS58""], ""casualties"": [""BS55""], ""classification"": [""BS55""], ""motive"": [], ""outcome"": [""BS55""]}",官方只称建筑内；村委会场景按多家媒体一致报道归类，具体动机留空。,,,,,,,,,,,True,False,媒体调查／研究推断,[],2021,2021-Q1,待核实,False,True,False,4,5,
B13,2021-04-17,day,成都华阳伏龙小区持刀伤人案,四川,成都,天府新区,城市,社区住宅,持械,pending,警方确认母子争吵后伤害他人，但未交代4名伤者与嫌疑人关系，不能据人数认定随机。,0,4,,,,2021-04-18,4名伤者均暂无生命危险。,,,31,男,,警方称先与母亲因生活琐事争吵。,"[""家庭争执""]",警方初步通报,,,,警方现场抓获。,进一步调查中。,,,2021-04-18,官方转载,"[""BS14""]","{""date"": [""BS14""], ""location"": [""BS14""], ""casualties"": [""BS14""], ""classification"": [""BS14""], ""motive"": [""BS14""], ""outcome"": [""BS14""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,"[""其他已披露背景""]",2021,2021-Q2,待核实,False,True,True,0,4,
B06,2021-04-28,day,广西北流新丰镇幼儿园持刀伤人案,广西,玉林,北流市,镇区,校园及周边,持械,pending,幼儿园师生遭袭已获官方证实；公开通报未交代具体对象选择及嫌疑人与园方关系，严格口径暂不直接认定随机。,2,16,,,,2021-04-30,,True,幼儿园师生，关系未明。,,男,,,[],未知,警方通报司法鉴定机构初步认定精神分裂症；未检出最终刑事责任能力结论。,,,当场抓获；救治伤者，公安与教育部门开展校园安全隐患排查。,截至所见通报在侦办中；未检出可核验后续裁判。,,,2021-04-30,官方转载,"[""BS05""]","{""date"": [""BS05""], ""location"": [""BS05""], ""casualties"": [""BS05""], ""classification"": [""BS05""], ""motive"": [""BS05""], ""outcome"": [""BS05""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2021,2021-Q2,待核实,False,True,False,2,16,
B09,2021-05-24,day,任丘华北油田采一中学伤人事件,河北,沧州,任丘市,,校园及周边,持械,pending,教育部门及医院向记者确认事件和学生受伤；未公开行凶对象关系、人数及动机，不能据网络汇编定为随机。,,,,,,,,True,,,,,,[],未知,,,,,媒体称警方已处置；细节待核。,,,2021-05-24,单一媒体,"[""BS09""]","{""date"": [""BS09""], ""location"": [""BS09""], ""casualties"": [""BS09""], ""classification"": [""BS09""], ""motive"": [""BS09""], ""outcome"": [""BS09""]}",,,,,,,,,,,,False,False,媒体调查／研究推断,[],2021,2021-Q2,待核实,False,True,False,0,0,
B08,2021-05-28,day,郴州白露塘地下通道学生遇袭案,湖南,郴州,苏仙区,镇区,校园及周边,持械,pending,单一独立媒体采访确认学生遇袭，未检出官方完整通报或第二独立采集资料，随机性与最终伤亡未充分核实。,,,,,,2021-05-28,生活报称5名学生受袭，医院受访人员称至少1死；报道同时称伤亡不明，故不填写精确最终死伤。,True,返校学生；与嫌疑人关系不明。,,男,媒体采访商户称在当地务工，未官方证实。,,[],未知,商户说法不一致，未见专业鉴定，不据此认定。,,,,媒体称已被警方控制；未检出后续通报。,,,2021-05-28,单一媒体,"[""BS08""]","{""date"": [""BS08""], ""location"": [""BS08""], ""casualties"": [""BS08""], ""classification"": [""BS08""], ""motive"": [""BS08""], ""outcome"": [""BS08""]}",,,,,,,,,,,,False,False,媒体调查／研究推断,[],2021,2021-Q2,待核实,False,True,False,0,0,
B14,2021-07-15,day,东莞清溪镇持刀伤人案,广东,东莞,清溪镇,镇区,街道交通,持械,pending,通报未披露选择受害者方式、关系和起因。,,6,,,,2021-07-15,,,,31,男,无业,,[],未知,,,,民警到场抓获。,已抓获。,,,2021-07-15,官方转载,"[""BS15""]","{""date"": [""BS15""], ""location"": [""BS15""], ""casualties"": [""BS15""], ""classification"": [""BS15""], ""motive"": [], ""outcome"": [""BS15""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2021,2021-Q3,待核实,False,True,False,0,6,
B15,2021-08-16,day,甘肃临洮洮阳镇未成年女孩遭袭案,甘肃,定西,临洮县,镇区,社区住宅,持械,pending,已证实刑案及伤亡，受害者为出门女孩；未查明双方是否相识或特定纠纷，保守待核。,2,1,,,,2021-08-18,,True,,,男,洮阳镇政府工作人员（财新采访确认）,,[],未知,镇政府人士向财新称患抑郁症；不是司法鉴定。,,,警方抓获刑拘。,侦办中；未检出公开后续判决。,,,2021-08-18,官方转载,"[""BS16"", ""BS17""]","{""date"": [""BS16"", ""BS17""], ""location"": [""BS16"", ""BS17""], ""casualties"": [""BS16"", ""BS17""], ""classification"": [""BS16"", ""BS17""], ""motive"": [], ""outcome"": [""BS16"", ""BS17""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2021,2021-Q3,待核实,False,True,False,2,1,
B16,2021-08-28,day,广州番禺清河中路持刀伤人案,广东,广州,番禺区,城市,街道交通,持械,pending,官方确认伤人，未披露目标关系，随机性不足。,,3,,,1,2021-08-29,,,,43,男,,,[],未知,,,,警方开枪击伤嫌疑人并控制。,侦办中。,,,2021-08-29,官方转载,"[""BS18""]","{""date"": [""BS18""], ""location"": [""BS18""], ""casualties"": [""BS18""], ""classification"": [""BS18""], ""motive"": [], ""outcome"": [""BS18""]}",部分汇编将此案误标2019年；按当年警方通报纠正为2021年。,,,,,,,,,,,True,False,媒体调查／研究推断,[],2021,2021-Q3,待核实,False,True,False,0,3,
B48,2021-12-29,day,长沙望城企业工友持刀伤害案,湖南,长沙,望城区,城市,其他,持械,excluded,警方明确系与工友争执后刺伤工友，未发现攻击无关人的证据，按定向工作纠纷排除。,3,2,,,,2021-12-29,两人伤势较重但无生命危险，不直接填司法重伤2人。,,工友,23,男,企业员工,警方称因与工友琐事争执心生怨恨。,"[""工作冲突""]",警方初步通报,,,,民警现场控制。,侦办中。,,,2021-12-29,官方转载,"[""BS51""]","{""date"": [""BS51""], ""location"": [""BS51""], ""casualties"": [""BS51""], ""classification"": [""BS51""], ""motive"": [""BS51""], ""outcome"": [""BS51""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,"[""经济／工作／财产纠纷""]",2021,2021-Q4,排除,False,False,True,3,2,
B18,2022-02-12,day,沈阳232路公交爆炸事件,辽宁,沈阳,皇姑区,城市,公共交通,爆炸,pending,爆炸原因未公开核实，不能确认犯罪或故意袭击。,1,42,2,,,2022-02-12,警方初报1死2重伤40轻伤。,,,,,,,[],未知,,,,应急救援、伤者送医。,原因调查中。,,,2022-02-12,官方转载,"[""BS20""]","{""date"": [""BS20""], ""location"": [""BS20""], ""casualties"": [""BS20""], ""classification"": [""BS20""], ""motive"": [], ""outcome"": [""BS20""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q1,待核实,False,True,False,1,42,
B19,2022-02-14,day,福建南靖山城镇货车撞人事件,福建,漳州,南靖县,镇区,街道交通,驾车,pending,警方仅通报货车碰撞及调查，故意性和随机选择未证实。,3,9,,,,2022-02-14,,,,,,,,[],未知,,,,司机被警方控制。,原因调查中。,,,2022-02-14,官方转载,"[""BS21""]","{""date"": [""BS21""], ""location"": [""BS21""], ""casualties"": [""BS21""], ""classification"": [""BS21""], ""motive"": [], ""outcome"": [""BS21""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q1,待核实,False,True,False,3,9,
B20,2022-03-20,day,邯郸人民路车辆碰撞非机动车事件,河北,邯郸,丛台区,城市,街道交通,驾车,pending,以危险方法危害公共安全罪刑拘不能单独证明随机袭击；警方初步归因超量服药，未检出后续故意性认定。,4,10,,,,2022-03-22,初报14人受伤中4人死亡，幸存伤者10人。,,,31,男,某单位职工,,[],未知,,,,司机当场被控制。,涉嫌以危险方法危害公共安全罪刑拘。,,,2022-03-22,官方转载,"[""BS22""]","{""date"": [""BS22""], ""location"": [""BS22""], ""casualties"": [""BS22""], ""classification"": [""BS22""], ""motive"": [], ""outcome"": [""BS22""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q1,待核实,False,True,False,4,10,
B21,2022-04-14,day,甘肃岷县同院住户伤害案,甘肃,定西,岷县,村庄,社区住宅,其他,pending,同院邻里纠纷；未交代伤者是否属于纠纷对方家庭，不能仅因有儿童就认定扩大伤害无关人员。,0,7,,,,2022-04-16,1人出院，其余6人病情平稳。,True,同院居住的2名成人和5名儿童,59,男,,警方初查误认邻居谩骂自己发生争吵。,"[""邻里纠纷""]",警方初步通报,,,,警方当场抓获。,刑事拘留。,,,2022-04-16,官方转载,"[""BS23""]","{""date"": [""BS23""], ""location"": [""BS23""], ""casualties"": [""BS23""], ""classification"": [""BS23""], ""motive"": [""BS23""], ""outcome"": [""BS23""]}",汇编所称4月1日幼儿园案不符官方日期与地点；通报未写凶器，方法暂列其他。,,,,,,,,,,,True,False,媒体调查／研究推断,"[""其他已披露背景""]",2022,2022-Q2,待核实,False,True,True,0,7,
B22,2022-06-02,day,东莞东城万达广场附近持刀伤人案,广东,东莞,东城街道,城市,商业场所,持械,pending,官方证实6人受伤，但随机细节只有未独立核实视频和网述，保守待核。,,6,,,,2022-06-02,,,,25,男,,,[],未知,,,,警方控制嫌疑人。,侦查中。,,,2022-06-02,官方转载,"[""BS24""]","{""date"": [""BS24""], ""location"": [""BS24""], ""casualties"": [""BS24""], ""classification"": [""BS24""], ""motive"": [], ""outcome"": [""BS24""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q2,待核实,False,True,False,0,6,
B24,2022-07-26,day,四川沐川警察枪击及杀人纵火案,四川,乐山,沐川县,城乡跨场景,社区住宅,复合,excluded,可靠报道确认伤亡对象为同一家庭及亲属，没有随机袭击陌生人的证据，排除核心。,3,2,,1,,2022-07-30,嫌疑人逃匿后高坠死亡单列。,True,一名女性及其堂弟、两名子女、公公,36,男,警察,,[],未知,,,,警方搜捕4日后发现嫌疑人尸体。,嫌疑人死亡，警方宣布复盘队伍教育管理。,,,2022-07-30,官方转载,"[""BS26""]","{""date"": [""BS26""], ""location"": [""BS26""], ""casualties"": [""BS26""], ""classification"": [""BS26""], ""motive"": [], ""outcome"": [""BS26""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q3,排除,False,True,False,3,2,
B25,2022-07-28,day,河南舞阳张家港路连续碰撞事件,河南,漯河,舞阳县,镇区,街道交通,驾车,pending,连续碰撞和媒体所称刑事案件不能替代主观故意与随机性的证据；官方当时称交通肇事逃逸。,1,28,,,,2022-07-28,2人伤势较重，不将临床描述直接等同司法重伤。,,,33,男,,,[],未知,,,,警方控制司机。,调查中。,,,2022-07-28,官方转载,"[""BS27""]","{""date"": [""BS27""], ""location"": [""BS27""], ""casualties"": [""BS27""], ""classification"": [""BS27""], ""motive"": [], ""outcome"": [""BS27""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q3,待核实,False,True,False,1,28,
B26,2022-08-03,day,江西安福幼儿园持刀伤人案,江西,吉安,安福县,镇区,校园及周边,持械,pending,已核实校园伤害及伤亡，但缺乏目标关系和选择方式的可靠说明，不仅因师生多人受害就认定随机。,4,5,,1,,2022-08-05,初报3死6伤，后续截至8月5日4死5伤；嫌疑人逃跑交通事故身亡单列。,True,幼儿园教师及幼儿,48,男,,,[],未知,,,,警方搜捕、伤者送医。,8月3日逃亡横穿高速遭车祸，8月4日抢救无效死亡，DNA确认（警方通报）。,,,2022-08-10,官方转载,"[""BS28"", ""BS57""]","{""date"": [""BS28""], ""location"": [""BS28""], ""casualties"": [""BS28"", ""BS57""], ""classification"": [""BS28""], ""motive"": [], ""outcome"": [""BS28"", ""BS57""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q3,待核实,False,True,False,4,5,
B49,2022-08-08,day,河南郸城世纪广场持刀伤人案,河南,周口,郸城县,镇区,公园广场,持械,pending,官方未说明双方关系或随机作案；不能采用网络汇编的无差别标签。,0,2,,,,2022-08-09,,,,21,男,,,[],未知,,,,接警3分钟后巡逻民警到场与群众控制。,刑事拘留。,,,2022-08-09,官方转载,"[""BS54""]","{""date"": [""BS54""], ""location"": [""BS54""], ""casualties"": [""BS54""], ""classification"": [""BS54""], ""motive"": [], ""outcome"": [""BS54""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2022,2022-Q3,待核实,False,True,False,0,2,
