id,url,title,publisher,published_date,accessed_date,type,independence_group,supports,key_facts,body_checked,provenance_note,access_status,replacement_support,note
AS014,https://news.sina.com.cn/c/2019-10-09/doc-iicezuev1016640.shtml,女子与丈夫吵架后为泄私愤连撞8车 一审获刑6年,新京报／新浪（海淀法院）,2019-10-09,2026-09-16,法院,AS014,"[""A012""]",2018年9月12日廖某因家庭争执，在海淀道路肆意冲撞停放及正常行驶车辆，2人受伤；一审有期徒刑6年。,True,,,,
AS015,https://m.thepaper.cn/newsDetail_forward_2567185,重庆一幼儿园幼儿做完早操后遭砍伤，警方：暂无人员死亡,澎湃新闻,2018-10-26,2026-09-16,公安,AS015,"[""A013""]",巴南公安负责人确认39岁刘某突然冲入幼儿早操结束后的人群持刀行凶，现场抓获，无死亡。,True,,,,
AS016,https://www.zaobao.com.sg/znews/greater-china/story20181027-902405,重庆幼儿园持刀伤人事件,联合早报,2018-10-27,2026-09-16,独立媒体,AS016,"[""A013""]",现场记者及官方信息报道14名幼儿受伤，部分伤势严重，袭击者39岁女性。,True,,,,
AS017,http://society.people.com.cn/n1/2018/1102/c1008-30378646.html,重庆万州公交车坠江原因公布：乘客与司机激烈争执互殴致车辆失控,人民日报客户端／人民网（调查通报）,2018-11-02,2026-09-16,公安,AS017,"[""A014""]",调查确认乘客与司机互殴导致公交车失控坠江，15名驾乘人员，已打捞13具遗体；无证据表明主动随机袭击其他乘客。,True,,,,
AS018,https://www.sohu.com/a/325744303_428290,辽宁葫芦岛“驾轿车撞学生致6死20伤”案一审宣判,央视网／搜狐,2019-07-09,2026-09-16,法院,AS018,"[""A015""]",葫芦岛中院对韩继华判死刑。2018年11月22日因经济、婚姻等不满，驾车冲撞学生队伍，6死20伤。,True,,,,
AS019,https://m.thepaper.cn/newsDetail_forward_9611626,四川夹江公交车爆炸案被告人死缓，曾因认为判轻要求立即执行死刑,环球时报／澎湃（川观新闻、裁判文书）,2020-10-18,2026-09-16,法院,AS019,"[""A016""]",2018年12月5日卢仕兵在夹江公交车上引爆爆炸物；法院列1重伤、8轻伤、7轻微伤及其他多人受伤。一审2019年11月15日死缓限制减刑，二审维持。,True,,,,
AS020,https://mil.sina.cn/2019-01-29/detail-ihqfskcp1570856.d.html,福建龙岩男子持刀杀人并劫持公交车撞人致8死25伤 一审获死刑,环球时报／新浪,2019-01-29,2026-09-16,法院,Longyan_court_20190128,"[""A017""]",龙岩中院2019年1月28日一审对邱日辉判死刑；2018年12月25日先持刀袭击，继而劫持公交车沿街冲撞，共8死25伤。,True,,,,
AS021,https://xinwen.bjd.com.cn/content/s5c34b096e4b03ea0f24ba7bf.html,西城区宣师一附小伤害学生事件新闻发布会,北京日报客户端（北京西城）,2019-01-08,2026-09-16,公安,AS021,"[""A018""]",发布会说明49岁劳务人员贾某因维修合同问题不满，在学校伤害20名学生，3人伤势较重，均无生命危险，现场控制。,True,,,,
AS022,https://www.thepaper.cn/newsDetail_forward_2854233,广东东莞虎门一男子持刀伤人致1死8伤，嫌疑人被抓获,澎湃新闻,2019-01-15,2026-09-16,公安,AS022,"[""A019""]",东莞虎门怀德社区1月14日覃某高持刀伤人，1死8伤；警方排除涉恐，嫌疑人被抓，动机在查。,True,,,,
AS023,https://m.cqcb.com/headline/2019-01-15/1381406.html,福州持刀伤人事件续报：1人死亡19人受伤,福州新闻网／上游新闻,2019-01-15,2026-09-16,公安,AS023,"[""A020""]",警方续报48岁侯某锋因与前妻及其男友纠纷，行凶后逃跑中伤害路人并抢电动车，1死19伤；后跳河下落不明。,True,,,,
AS024,https://www.peopleapp.com/column/30036589131-500001627515,江西吉安发生砍人案致11伤 嫌疑人已被控制,人民日报客户端（吉安公安）,2019-02-21,2026-09-16,公安,AS024,"[""A021""]",警方通报郭开滨33岁在韶山西路持刀伤人，11人受伤，包括学生及辅警，警方和群众控制嫌疑人。,True,,,,
AS025,https://www.rfa.org/cantonese/news/chop-02212019054320.html,江西中學外斬人11傷 警員途人合力制服疑精神病男子,自由亚洲电台,2019-02-21,2026-09-16,独立媒体,AS025,"[""A021""]",据警方及现场商户、目击者材料报道在吉安八中外袭击学生及途人，群众追赶数百米并制服。,True,,,,
AS026,https://www.secretchina.com/news/gb/2019/03/14/887394.html,唐山当街乱砍 疑犯双手染血 传17学童受伤,看中国,2019-03-14,2026-09-16,独立媒体,AS026,"[""A022""]",引述官方通报3月14日13时26分丰润光华道小学附近伤害学生、嫌疑人54岁崔振江被控制；17伤来自网传，非通报数字。,True,,,,
AS027,https://news.sina.com.cn/c/2019-03-22/doc-ihtxyzsk9594100.shtml,男子驾车冲撞路人致6死8伤续：伤者全力抢救中,新京报／新浪（枣阳市政府）,2019-03-22,2026-09-16,公安,AS027,"[""A023""]",市政府通报44岁餐馆店主崔立冬伤害妻女后驾车冲撞行人，6名受害人死亡、8伤，嫌疑人被击毙。,True,,,,
AS028,https://www.jiemian.com/article/3870778.html,裁判文书网公布湖南宁远一小学伤害案判决书，校长和门卫获刑,界面新闻,2020-01-13,2026-09-16,法院,AS028,"[""A024""]",援引校长门卫涉案裁判：2019年4月3日郑艳军袭击小学学生，2死2伤；精神分裂症现症期、限制刑事责任能力。多轮校园安防检查指出的问题未整改。,True,,,,
AS029,https://www.sdcourt.gov.cn/dykfqfy/397053/397093/6018718/index.html,厦门中院一审宣判两起故意杀人案,中国法院网／东营经济技术开发区法院,2020-04-17,2026-09-16,法院,AS029,"[""A025"", ""A043""]",厦门中院2020年4月10日分别判处彭某、王某死刑。彭某2019年4月30日随机袭击女子致1死1轻微伤；王某2018年3月20日袭击前女友和其姐姐致1死1轻伤。,True,,,,
AS030,https://jx.cnr.cn/2011jxfw/qysc/20200604/t20200604_525117107.shtml,死刑！南昌红谷滩杀人案二审公开宣判,央广网（江西高院）,2020-06-04,2026-09-16,法院,AS030,"[""A026""]",2019年5月24日万某弟在凤凰中大道尾随陌生女性并杀害其中一人；精神鉴定双相障碍缓解期、完全刑责；2020年6月4日二审维持死刑。,True,,,,
AS031,https://www.sohu.com/a/331744741_120107970,重庆18岁男子杀害无辜路人，受害者家属放弃民事赔偿望重判,澎湃新闻／搜狐城市重庆,2019-08-06,2026-09-16,公安,AS031,"[""A027""]",警方8月1日通报：7月31日18岁甘某找前女友未果，持刀刺死小区车库无关女子后逃跑，被抓获。,True,,,,
AS032,https://www.sohu.com/a/363216178_260616,湖北恩施致8名学生死亡案罪犯于华被执行死刑,澎湃新闻（中国硒都网）／搜狐,2019-12-27,2026-09-16,法院,AS032,"[""A028""]",恩施中院布告：2019年9月2日朝阳坡小学袭击致8死2伤；于华2019年11月4日一审死刑，未上诉，12月27日执行。,True,,,,
AS033,https://www.jfdaily.com/wx/detail.do?id=188132,云南开远一男子进入幼儿园喷洒腐蚀性液体，54名师生受伤,上观新闻（开远市委宣传部通报）,2019-11-12,2026-09-16,公安,AS033,"[""A029""]",2019年11月11日23岁孔某涵向东城幼儿园师生喷洒腐蚀性液体，51幼儿及3教师受伤；警方通报供述因成长及生活不顺报复社会。,True,,,,
AS034,https://www.guancha.cn/politics/2019_12_06_527626.shtml,北京马家堡一男子盗开车辆肇事，致2死7伤,观察者网（北京交警）,2019-12-06,2026-09-16,公安,AS034,"[""A030""]",警方通报57岁何某盗开工程救险车，在马家堡等路段撞击车辆行人，2死7伤，后被拦截控制。,True,,,,
AS035,https://news.sina.com.cn/s/2019-12-25/doc-iihnzahi9757035.shtml,疑上海警方开枪处置事件中误伤的路人 还在ICU,津云／新浪,2019-12-25,2026-09-16,独立媒体,AS035,"[""A031""]",津云现场调查12月15日静安持刀男子被警方开枪制服，2名路人受枪伤；未报道刀伤受害人，处置当晚无死亡。,True,,,,
AS036,https://www.sdcourt.gov.cn/ytmpqfy/389905/mtjj6355/6800127/index.html,北京朝阳医院伤医案一审宣判,山东法院网站（北京三中院判决报道）,2021-02-02,2026-09-16,法院,AS036,"[""A032""]",2020年1月20日崔振国因眼病治疗未达预期袭击医生，又砍伤3名阻拦者；1重伤1轻伤2轻微伤，一审死缓。,True,,,,
AS037,https://news.sina.com.cn/s/2020-05-20/doc-iirczymk2557141.shtml,河北滦平故意驾车伤人案嫌犯被批捕：厌世报复社会致2死7伤,澎湃新闻／新浪（滦平检察院）,2020-05-20,2026-09-16,检察院,AS037,"[""A033""]",检方指控30岁孙某甲2020年4月15日在滦平沿省道连续撞击行人，并下车持石攻击倒地者，2死7伤；5月14日批捕。,True,,,,
AS038,https://news.ifeng.com/c/82cRv8lrEUO,广西苍梧小学砍人案二审维持原判：凶手李小文被判死刑,凤凰网（广西高院）,2020-12-30,2026-09-16,法院,AS038,"[""A034""]",李小文因工作纠纷袭击同事，继而砍击学生及副校长，41人受伤（1重伤7轻伤一级23轻伤二级10轻微伤），二审维持死刑。,True,,,,
AS039,https://www.hkcd.com.hk/hkcdweb/content/2020/06/05/content_1196315.html,福建仙游发生持刀伤人案，造成3死7伤,香港商报（红星新闻）,2020-06-05,2026-09-16,独立媒体,AS039,"[""A035""]",仙游警方确认6月4日晚枫亭镇和平村伤人，3死7伤、35岁张某被抓；红星现场采访目击者称未争吵、见人即攻击。,True,,,,
AS040,https://news.sina.cn/gn/2020-06-18/detail-iirczymk7692553.d.html,上海警方通报徐汇持刀伤人事件,上观新闻／新浪（徐汇公安）,2020-06-18,2026-09-16,公安,AS040,"[""A036""]",6月17日39岁沈某驾驶车辆碰撞致3人伤，随后刀伤同行女友及5名路人、拳击伤1名路人，共10人送医，被控制。,True,,,,
AS041,https://news.sina.cn/2021-05-10/detail-ikmyaawc4500554.d.html,陕西凤翔致2死1伤重大刑事案件一审宣判：张涛被判处死刑,新京报／新浪（宝鸡中院）,2021-05-10,2026-09-16,法院,AS041,"[""A037""]",张涛2020年7月5日袭击无辜路人1死1轻伤，逃离后因车费争执杀害出租车司机；精神分裂症缓解期、完全刑责，一审死刑。,True,,,,
AS042,https://www.sohu.com/a/407393844_120121400,公交坠湖案通报：司机蓄意报复社会,搜狐转载观察者网及安顺公安,2020-07-13,2026-09-16,公安,AS042,"[""A038""]",安顺警方完整通报：2020年7月7日张某钢不满生活及承租公房拆除，针对不特定人群驾公交坠湖；21人死亡含司机，15人受伤。,True,,,,
AS043,https://www.sohu.com/a/458414968_120078003,在天津营口道持刀行凶男子被核准死刑！案情披露,搜狐（人民法院报等案件报道）,2021-03-31,2026-09-16,法院,AS043,"[""A039""]",刘某某因怀疑门锁被破坏，意图在闹市刺杀女性扩大影响，2020年8月12日先杀害一人后再次袭击另一人；后者法院案情称尚未形成伤情。,True,,,,
AS044,https://www.thepaper.cn/newsDetail_forward_12215761,湖南桑植砍杀四名学生案一审开庭，将择期宣判,澎湃新闻（张家界中院）,2021-04-15,2026-09-16,法院,AS044,"[""A040""]",检方指控仇龙科因家庭诉求未解决，欲杀学生引关注，2020年9月7日连续袭击3名学生并劫持再伤1人，共4重伤，现场被捕。,True,,,,
AS045,https://pf.rednet.cn/content/2021/11/04/10364565.html,湖南法院“我为群众办实事”典型案事例,红网（湖南法院司法救助报道）,2021-11-04,2026-09-16,法院,AS045,"[""A040""]",司法救助报道确认桑植案4名受害学生存活，2021年已进入二审阶段，未公布最终刑罚。,True,,,,
AS046,https://news.sina.cn/2020-09-21/detail-iivhvpwy8000320.d.html,广州警方：持刀伤人案2人伤重不治 嫌疑人王某自残死亡,澎湃新闻／新浪（广州番禺公安）,2020-09-21,2026-09-16,公安,AS046,"[""A041""]",钟村街骏兴路7时35分持刀伤人，5名受害人中2人不治、3人稳定；47岁王某在制服过程中自残死亡。,True,,,,
AS047,https://www.thepaper.cn/newsDetail_forward_10565775,辽宁男子持刀随机捅刺致7死7伤，官方通报来了,澎湃新闻（央视、当地公安）,2020-12-28,2026-09-16,公安,AS047,"[""A042""]",警方确认12月27日62岁杨某峰随机持刀刺伤路人，7死7伤（含1名民警）；称其家庭变故及长期独居引发怨恨。,True,,,,
AS048,https://news.sina.com.cn/o/2019-12-24/doc-iihnzahi9593615.shtml,男子驾车时突发癫痫致3死8伤案宣判：获刑13年,中国新闻网／新浪（深圳中院）,2019-12-24,2026-09-16,法院,AS048,"[""A044""]",法院查明刘正楠2019年5月16日癫痫发作、车辆失控致3死8伤；明知患病仍开车属间接故意，以危险方法危害公共安全罪判13年。,True,,,,
AS049,https://www.chinanews.com/sh/2018/07-05/8557662.shtml,湖南一男子砍伤7名民众致其中1名男童死亡 已被抓获,中国新闻网（隆回公安）,2018-07-05,2026-09-16,公安,AS049,"[""A045""]",警方通报罗某武40岁在南松村持刀伤害7人，1名男童死亡，其余6伤；有故意伤害前科，被抓获。,True,,,,
AS050,https://www.sohu.com/a/293707038_355158,甘肃8死7伤刑事案：村民称嫌犯为人跋扈，妻子此前离家出走！,北京青年报／半岛都市报搜狐号,2019-02-08,2026-09-16,公安,AS050,"[""A046""]",白银警方称2月5日会宁郭某某因怀疑妻子与他人不正当关系，入村民家行凶8死7伤；采访提示多户与疑似婚姻纠纷有关，关系未完整查明。,True,,,,
AS051,https://m.bjnews.com.cn/detail/155142001114263.html,河南一学生持刀致同学死伤 警方：因同学间矛盾,新京报,2019-03-01,2026-09-16,公安,AS051,"[""A047""]",平顶山警方称2月26日财经学校宋某因同学矛盾袭击特定同学，1死3伤；采访表明双方此前有冲突。,True,,,,
AS052,https://m.thepaper.cn/newsDetail_forward_3735899,高一男生早自习刺伤8名同学，学校老师：正在做精神鉴定,红星新闻／澎湃新闻,2019-06-21,2026-09-16,公安,AS052,"[""A048""]",天门警方通报高一16岁陈某在早自习刺伤8名同班学生，全部无生命危险；动机在查，教师所说精神问题未经确认。,True,,,,
AS053,https://www.spp.gov.cn/spp/dfjcdt/201810/t20181017_395560.shtml,重庆：提前介入一起恶性袭击学生案,检察日报／最高人民检察院,2018-10-17,2026-09-16,检察院,AS053,"[""A049""]",警方确认10月10日李某榔头伤害候车3名学生、1家长及制止的公交司机，共5伤无生命危险，50分钟后抓获。,True,,,,
AS054,https://www.thepaper.cn/newsDetail_forward_2636084,暖闻｜重庆一公交司机勇斗行凶歹徒救女孩，获评“热心市民”,澎湃新闻,2018-11-15,2026-09-16,公安,AS054,"[""A049""]",警方称44岁李某因家庭变故酒后泄愤袭击候车群众；司机营救被劫持女孩并使车辆无法启动，自己受伤。,True,,,,
AS055,https://news.china.com/socialgd/10000169/20190130/35121335.html,劫持公交案死刑：造成8人死25人伤 龙岩男子被判死刑,燕赵晚报／中华网,2019-01-30,2026-09-16,公安,Longyan_court_20190128,"[""A017""]",援引龙岩法院及公安调查：邱日辉与居委会干部有积怨，当日发生争执后杀人并劫持公交车撞人；一审死刑。,True,,,,
AS056,https://www.hk01.com/sns/article/370825,【血腥開學日】持刀闖校園 小學生捱斬8死2傷 兇徒疑曾挖女友眼,香港01,2019-09-03,2026-09-16,独立媒体,AS056,"[""A028""]",报道引述警方称男子持刀进入朝阳坡小学袭击学生，8死2伤；另有未核实前科与精神状态传言，本数据不采后者。,True,,,,
BS01,https://www.sohu.com/a/664013979_161795,已伏法的大连开宝马撞人致5死男子：因投资失败故意冲撞行人,南方都市报（搜狐转载）,2023-04-07,2026-09-16,官方媒体,大连中院刘东审理及执行通报,"[""B01""]",法院查明2021年5月22日因投资失败故意冲撞斑马线行人，5死8伤；2021年10月29日一审死刑，2023年4月7日执行。正文已打开。,,,,,
BS02,https://www.peopleapp.com/rmharticle/30026816059,安庆步行街持刀行凶致7死13伤 罪犯吴亮15日被执行死刑,央视新闻（环球时报人民号转载）,2022-02-17,2026-09-16,官方媒体,安庆中院吴亮执行布告,"[""B02""]",法院布告记载2021年6月5日连续捅刺20名无辜群众，7死13伤（5重伤）；25岁、无业。2022年2月15日执行死刑。正文已打开。,,,,,
BS03,https://www.thepaper.cn/newsDetail_forward_23055693,广州宝马撞人案判决书披露作案动机，被告人称案发前多次高速冲卡逃费,澎湃新闻,2023-05-12,2026-09-16,官方媒体,澎湃广州判决书独立采集,"[""B04""]",记者读取一审判决书并采访家属：2023年1月11日温庆运在天河连续驾车撞人，为发泄个人情绪；最终6死、20余人受伤。29份伤情描述含25名轻伤或轻微伤、3名不构成轻微伤、1名体表未见明显机械性损伤。正文已打开。,,,,,
BS04,https://www.thepaper.cn/newsDetail_forward_27088401,广州天河“1·11”驾车撞人案罪犯温庆运被执行死刑,澎湃新闻,2024-04-19,2026-09-16,官方媒体,广州中院温庆运执行通报,"[""B04""]",广州中院通报：温庆运于2024年4月19日执行死刑。正文已打开。,,,,,
BS05,https://www.xinhuanet.com/2021-04/30/c_1127394396.htm,广西北流通报幼儿园持刀行凶案：初步认定犯罪嫌疑人为精神分裂症患者,新华社,2021-04-30,2026-09-16,官方媒体,北流公安20210429,"[""B06""]",北流警方通报：4月28日新丰镇幼儿园持刀案，2死16伤；曾某被当场控制，司法鉴定初步认定精神分裂症。正文已打开。,,,,,
BS06,https://www.thepaper.cn/newsDetail_forward_10911592,1人死亡7人受伤，昆明通报劫持人质事件,澎湃号媒体（云南发布等通报转载）,2021-01-23,2026-09-16,官方媒体,昆明五华政府警方20210122,"[""B05""]",2021年1月22日云南师大实验中学门口持刀伤人及劫持案，王某侠男56岁，1死7伤；警方击毙嫌疑人、解救人质。正文已打开。,,,,,
BS07,https://www.guancha.cn/politics/2021_05_26_592016.shtml,南阳警方：66岁男子持棍行凶，致12名学生2名群众受伤,观察者网,2021-05-26,2026-09-16,独立媒体,南阳公安20210525,"[""B07""]",完整转载警方通报：5月25日68小学附近退休男子吴某某因生活失意报复社会持棍，12名学生及2名群众受伤、均无生命危险。正文已打开。,,,,,
BS08,https://news.sina.cn/sh/2021-05-28/detail-ikmxzfmm5247323.d.html,5名小学生上学途中被砍伤！行凶男被指精神有问题,生活报（新浪转载）,2021-05-28,2026-09-16,官方媒体,生活报郴州独立采访,"[""B08""]",记者采访医院、商户与宣传部门：5月28日白露塘镇地下通道5名返校学生被持刀袭击，伤亡仍不明；医护称至少1死，尚无正式确认。正文已打开。,,,,,
BS09,https://www.sohu.com/a/468254554_172952,河北一中学发生伤人事件，有学生受伤，嫌疑人被控制,极目新闻（搜狐转载）,2021-05-24,2026-09-16,官方媒体,极目任丘独立采访,"[""B09""]",记者向教育部门和医院核实华北油田采一中学校内发生伤人案、有学生受伤；人数和关系不明。正文已打开。,,,,,
BS10,https://news.sina.com.cn/o/2021-05-30/doc-ikmxzfmm5536260.shtml,警方通报南京驾车撞人并持刀捅人案细节,中国新闻社（新浪转载）,2021-05-30,2026-09-16,官方媒体,南京公安20210530,"[""B10""]",5月29日晚吉某某因感情纠纷撞伤前妻和其友人，同时撞伤路人，逃逸途中伤及路人和劝阻者；7名被害人、嫌疑人亦伤。正文已打开。,,,,,
BS11,https://m.thepaper.cn/newsDetail_forward_15729518,男子街头持刀伤人，9人送医！目击者：不认识的人，他拿刀就捅,巨野法院澎湃号转载齐鲁晚报（含浦东公安通报及商户采访）,2021-12-07,2026-09-16,官方媒体,浦东公安20211206及上海媒体采访汇编,"[""B11""]",警方通报刘某26岁持剪刀伤7名群众和2名警察，为外省市在册精神病人；目击者称从店内至沿街对陌生人连续行凶。正文已打开。,,官方账号转载不等于法院判决；发生/伤亡来自警情，陌生人连续攻击来自现场采访。,,,
BS12,https://mil.sina.cn/2023-10-27/detail-imzsptxq7188490.d.html,侯晓飞，死刑,环球时报转载上海二中院,2023-10-27,2026-09-16,法院,上海二中院20231027,"[""B03""]",法院认定投资失败、无力偿债后预谋报复社会；瑞金医院袭击致6人重伤、9人轻伤轻微伤，一审死刑。,,,,,
BS13,https://china.caixin.com/2021-01-23/101654861.html,警方通报“杭州爆燃事件”：嫌疑人曾患有偏执性精神障碍,财新,2021-01-23,2026-09-16,独立媒体,杭州公安20210123,"[""B12""]",警方披露39岁卢某因诊疗不满预谋，在医院引燃爆炸物并持刀伤害患者医护，四名他人和嫌疑人受伤。,,,,,
BS14,https://www.chinanews.com/sh/2021/04-18/9457400.shtml,四川天府新区通报持刀伤人事件：4名伤者暂无生命危险,中国新闻网,2021-04-18,2026-09-16,公安,天府新区公安20210417,"[""B13""]",警方称杨某与母亲争吵后持刀伤害4名他人。,,,,,
BS15,https://news.ifeng.com/c/87u97pdHf1d,广东东莞发生持刀伤人案，6人受伤,凤凰网转载平安清溪,2021-07-15,2026-09-16,公安,清溪公安20210715,"[""B14""]",警方确认清溪镇李某持刀致6名群众受伤，31岁无业，已抓获。,,,,,
BS16,https://m.bjnews.com.cn/detail/162927093314206.html,甘肃临洮县洮阳镇发生2死1伤刑事案件 犯罪嫌疑人已被刑拘,新京报转载临洮县政府,2021-08-18,2026-09-16,官方媒体,临洮政府20210818,"[""B15""]",县政府确认8月16日13时30分发生2死1伤刑案，张某某被刑拘。,,,,,
BS17,https://china.caixin.com/2021-08-18/101756899.html,甘肃临洮发生凶案致2死1伤 嫌疑人系镇政府工作人员,财新,2021-08-18,2026-09-16,独立媒体,财新临洮20210818,"[""B15""]",采访镇政府确认嫌疑人职员身份及抑郁说法，三名受害者为7、13、16岁女孩；引述家属去图书馆途中被袭。,,,,,
BS18,http://henan.china.com.cn/m/2021-08/29/content_41658061.html,广州番禺一男子持刀伤人致3人受伤，嫌疑人被警方开枪击伤,中国网转载新京报,2021-08-29,2026-09-16,公安,番禺公安20210828,"[""B16""]",番禺公安通报8月28日清河中路郑某43岁持水果刀伤3人，被警方开枪击伤控制。,,,,,
BS19,https://news.sina.cn/sh/2021-11-04/detail-iktzscyy3587157.d.html,山西河津一男子当街持刀伤3人被警方控制 有司机驾车撞击持刀者,北京青年报,2021-11-04,2026-09-16,公安,河津公安20211104,"[""B17""]",警方称赵某务工中争执，持菜刀致现场3名劝阻群众受伤。,,,,,
BS20,https://www.chinanews.com.cn/sh/2022/02-12/9674807.shtml,沈阳一公交车发生爆炸 已致1人死亡、2人重伤、40人轻伤,中国新闻网,2022-02-12,2026-09-16,公安,沈阳公安20220212,"[""B18""]",警方确认232路公交爆炸1死42伤，原因在查。,,,,,
BS21,https://m.thepaper.cn/newsDetail_forward_16694089,福建漳州一货车撞倒行人致3死9伤，司机已被控制,澎湃转载警方,2022-02-14,2026-09-16,公安,南靖公安20220214,"[""B19""]",南靖山城镇货车撞行人3死9伤，具体原因调查中。,,,,,
BS22,https://www.hunantoday.cn/news/xhn/202203/13900814.html,邯郸一男子驾车冲撞人群致4人死亡被刑拘，涉嫌超量服药,新湖南转载中央政法委长安剑,2022-03-22,2026-09-16,公安,邯郸公安20220321,"[""B20""]",警方称刘某北31岁长期服镇痛处方药，案发日超量服药；14名初始伤者中4人死亡。,,,,,
BS23,https://m.bjnews.com.cn/detail/165006491014284.html,甘肃岷县发生一起故意伤害案致7伤，其中5名为孩子,新京报转载岷县发布,2022-04-16,2026-09-16,公安,岷县发布20220416,"[""B21""]",59岁赵某因院门上锁误认邻居谩骂自己，争吵后伤害同院7人含5儿童。,,,,,
BS24,https://www.cna.com.tw/news/acn/202206020351.aspx,廣東東莞發生持刀傷人事件 釀6人受傷,中央社,2022-06-02,2026-09-16,独立媒体,东莞东城公安20220602,"[""B22""]",东城警方确认万达广场附近25岁湛某伤6人；随机伤人细节主要来自社媒视频描述。,,,,,
